City,Longitude,Latitude
昌都市,97.170425,31.142879
那曲市,92.051510,31.477905
拉萨市,91.171924,29.653491
日喀则市,88.880423,29.266838
山南市,91.771426,29.237722
林芝市,94.361436,29.648750
阿里地区,80.105786,32.500987
